,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,Spielphase,VorT,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,Körperteil,xFe,yFe,xG
0,1,FCN,H,GWD,1,3,1,0,,0,1,Block,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,11.0,R,-5.0,34.0,0.015202547290981774
1,1,FCN,H,GWD,2,6,1,0,1:0,0,2,Tor,AusDemSpiel,EB,TieferPass,20.0,26.0,23.0,20.0,,,,,,,,,9.0,L,6.5,44.0,0.3246798033242325
2,1,FCN,H,GWD,3,8,1,0,,1,3,Block,AusDemSpiel,EB,KontrollierteVorlage,20.0,26.0,6.0,23.0,8.0,,,,,,,,27.0,R,17.0,34.0,0.006161911448988554
3,1,GWD,G,FCN,1,11,1,0,,-1,4,Vorbei,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-2.0,26.5,0.04977129431964123
4,1,FCN,H,GWD,4,14,1,0,,1,5,Save,AusDemSpiel,EB,TieferPass,8.0,20.0,1.0,26.0,23.0,6.0,8.0,,,,,,9.0,R,1.0,37.5,0.4704381423802151
5,1,FCN,H,GWD,5,16,1,0,2:0,1,6,Tor,AusDemSpiel,EB,HoheFlanke,8.0,26.0,23.0,6.0,20.0,13.0,,,,,,,7.0,R,-0.5,46.0,0.5993838102334527
6,1,GWD,G,FCN,2,18,1,0,,-2,7,Vorbei,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,14.5,29.0,0.01901173799099239
7,1,GWD,G,FCN,3,20,1,0,,-2,8,Vorbei,AusDemSpiel,nEW,KontrollierteVorlage,,,,,,,,,,,,,,R,-7.5,26.5,0.027520886443699388
8,1,FCN,H,GWD,6,21,1,0,,2,9,Save,AusDemSpiel,EW,KontrollierteVorlage,13.0,,,,,,,,,,,,9.0,K,17.0,46.0,0.013093151344220507
9,1,GWD,G,FCN,4,24,1,0,,-2,10,Save,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,5.5,37.0,0.33703003537321463
10,1,GWD,G,FCN,5,24,1,0,,-2,10,TLK,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-6.5,40.5,0.3562788891313119
11,1,GWD,G,FCN,6,27,1,0,,-2,11,Vorbei,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,-4.0,19.5,0.001742600534043027
12,1,FCN,H,GWD,7,40,1,0,,2,12,Save,AusDemSpiel,EB,TieferPass,26.0,23.0,,,,,,,,,,,13.0,L,21.5,41.0,0.029204563559551585
13,1,FCN,H,GWD,8,40,1,0,,2,12,Block,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,11.0,R,-11.0,42.5,0.04649595396723979
14,1,FCN,H,GWD,9,41,2,0,,2,13,Block,AusDemSpiel,USO,KontrollierteVorlage,27.0,9.0,6.0,,,,,,,,,,9.0,L,7.5,34.5,0.05195414018971049
15,1,FCN,H,GWD,10,42,2,0,,2,14,Vorbei,AusDemSpiel,EB,TieferPass,6.0,1.0,6.0,,,,,,,,,,8.0,R,7.5,33.5,0.06860880110476074
16,1,GWD,G,FCN,7,43,2,0,,-2,15,Save,Freistoss,nFS,KontrollierteVorlage,,,,,,,,,,,,,,R,-14.5,44.0,0.0575113903386989
17,1,FCN,H,GWD,11,45,2,0,,2,16,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,6.0,R,-5.5,24.5,0.028218522488802345
18,1,GWD,G,FCN,8,46,2,0,,-2,17,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,21.0,33.5,0.0039463412151973815
19,1,FCN,H,GWD,12,51,2,0,,2,18,Vorbei,AusDemSpiel,USO,Dribbling,8.0,,,,,,,,,,,,7.0,L,7.5,41.5,0.0967559536116084
20,1,FCN,H,GWD,13,57,2,0,3:0,2,19,Tor,AusDemSpiel,USO,Dribbling,8.0,,,,,,,,,,,,7.0,R,5.5,44.5,0.15106503911712973
21,1,FCN,H,GWD,14,60,2,0,,3,20,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,18.0,8.0,20.0,1.0,23.0,26.0,,,,,,,8.0,L,11.0,36.5,0.030756930805562806
22,1,FCN,H,GWD,15,70,2,0,4:0,3,21,Tor,AusDemSpiel,USO,Dribbling,25.0,8.0,1.0,,,,,,,,,,18.0,L,8.5,45.0,0.3081902371352308
23,1,GWD,G,FCN,9,72,2,0,,-4,22,Save,AusDemSpiel,nEW,KontrollierteVorlage,,,,,,,,,,,,,,L,13.5,30.5,0.0230330956044386
24,1,FCN,H,GWD,16,75,2,0,,4,23,Vorbei,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,25.0,K,6.5,50.5,0.12720857440047875
25,1,FCN,H,GWD,17,75,2,0,,4,24,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,5.0,R,-9.0,41.5,0.07242253833305164
26,2,FCD,H,FCN,1,4,1,0,1:0,0,1,Tor,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,R,-1.5,33.5,0.0648349325101811
27,2,FCN,G,FCD,1,10,1,0,,-1,2,Vorbei,AusDemSpiel,EB,FlacheHereingabe,13.0,8.0,20.0,,,,,,,,,,9.0,L,4.0,46.0,0.1365691850542769
28,2,FCD,H,FCN,2,11,1,0,,1,3,Save,AusDemSpiel,EB,FlacheHereingabe,,,,,,,,,,,,,,L,-1.5,47.0,0.811779089825148
29,2,FCD,H,FCN,3,11,1,0,2:0,1,3,Tor,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-1.0,51.0,0.8931939319136579
30,2,FCN,G,FCD,2,13,1,0,,-2,4,Vorbei,Ecke,E,HoheFlanke,8.0,,,,,,,,,,,,7.0,K,8.5,47.5,0.08466984339771175
31,2,FCN,G,FCD,3,16,1,0,,-2,5,Vorbei,AusDemSpiel,EW,KontrollierteVorlage,27.0,13.0,,,,,,,,,,,9.0,R,12.5,45.0,0.014967650650933393
32,2,FCN,G,FCD,4,26,1,0,,-2,6,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,7.5,25.5,0.029889396038693405
33,2,FCN,G,FCD,5,37,1,0,,-2,7,Block,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,2.0,32.5,0.11558312466018103
34,2,FCD,H,FCN,4,43,2,0,,2,8,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,12.5,35.0,0.00898023680765347
35,2,FCD,H,FCN,5,47,2,0,,2,9,Vorbei,Ecke,E,HoheFlanke,,,,,,,,,,,,,,R,-5.0,44.5,0.0006895718661467433
36,2,FCN,G,FCD,6,57,2,0,2:1,-2,10,Tor,AusDemSpiel,USO,TieferPass,27.0,8.0,5.0,,,,,,,,,,9.0,L,16.0,46.5,0.3352848615974093
37,2,FCN,G,FCD,7,65,2,0,2:2,-1,11,Tor,AusDemSpiel,EB,HoheFlanke,13.0,19.0,20.0,,,,,,,,,,9.0,K,-1.5,46.5,0.2909717571474844
